Date,Open_ES1,High_ES1,Low_ES1,Last_ES1,Change_ES1,Settle_ES1,Volume_ES1,Previous Day Open Interest_ES1,Open_ES2,High_ES2,Low_ES2,Last_ES2,Change_ES2,Settle_ES2,Volume_ES2,Previous Day Open Interest_ES2,Open_ES3,High_ES3,Low_ES3,Last_ES3,Change_ES3,Settle_ES3,Volume_ES3,Previous Day Open Interest_ES3,Open_ES4,High_ES4,Low_ES4,Last_ES4,Change_ES4,Settle_ES4,Volume_ES4,Previous Day Open Interest_ES4
2014-03-11,1876.25,1882.25,1863.0,1864.75,12.0,1865.25,1609390.0,3080700.0,1869.5,1875.0,1855.75,1857.5,12.0,1858.0,156608.0,227903.0,1863.25,1867.5,1848.0,1850.5,11.75,1851.0,1156.0,2694.0,1850.0,1850.0,1849.75,1850.0,12.0,1843.5,1.0,170.0
2014-03-12,1864.75,1869.0,1853.75,1868.75,2.5,1867.75,1664135.0,3050825.0,1857.5,1861.75,1846.75,1861.75,2.75,1860.75,220311.0,314285.0,1850.25,1854.25,1839.5,1854.25,2.5,1853.5,505.0,3176.0,1839.5,1845.5,1834.0,1845.5,2.5,1846.0,275.0,221.0
2014-03-13,1868.75,1875.0,1841.5,1848.0,21.0,1846.75,2346067.0,3000644.0,1861.5,1867.75,1834.5,1841.0,21.0,1839.75,1144064.0,456005.0,1856.75,1860.25,1827.5,1833.5,21.0,1832.5,551.0,3156.0,1849.25,1851.5,1821.5,1825.75,20.75,1825.25,5.0,472.0
2014-03-14,1847.25,1853.0,1839.0,1839.5,6.75,1840.0,1309151.0,2574695.0,1840.0,1846.25,1832.0,1832.5,6.75,1833.0,2197284.0,935257.0,1833.25,1838.5,1825.0,1825.5,6.75,1825.75,474.0,3175.0,1830.0,1831.0,1819.25,1819.25,6.75,1818.5,38.0,475.0
2014-03-17,1839.5,1862.75,1830.5,1859.25,17.75,1857.75,797416.0,2120009.0,1832.25,1855.75,1823.5,1852.0,17.75,1850.75,1853795.0,1552144.0,1825.5,1848.25,1816.75,1844.75,17.75,1843.5,640.0,3346.0,1816.75,1840.5,1810.0,1837.0,17.75,1836.25,30.0,499.0
2014-03-18,1858.75,1874.0,1852.5,1871.5,13.0,1870.75,865008.0,1781171.0,1851.75,1867.0,1845.5,1864.25,13.0,1863.75,2029362.0,2004732.0,1845.75,1859.5,1838.75,1857.25,13.0,1856.5,634.0,3604.0,1842.5,1851.75,1832.0,1849.75,13.0,1849.25,28.0,516.0
2014-03-19,1871.0,1874.5,1849.5,1858.5,11.0,1859.75,640709.0,1349263.0,1864.0,1867.5,1842.0,1851.0,11.5,1852.25,2004249.0,2525016.0,1855.75,1860.0,1835.25,1844.0,11.5,1845.0,789.0,3541.0,1852.0,1852.75,1828.25,1836.0,11.25,1838.0,169.0,531.0
2014-03-20,1858.5,1874.25,1852.5,1872.75,14.0,1873.75,344340.0,1166011.0,1851.25,1866.5,1844.75,1865.0,13.75,1866.0,1671773.0,2756352.0,1845.25,1859.75,1837.75,1858.25,14.0,1859.0,855.0,3582.0,1834.5,1851.5,1831.0,1851.25,14.0,1852.0,35.0,653.0
2014-03-21,1864.75,1876.75,1855.5,1858.5,9.0,1857.0,1746978.0,2814864.0,1857.25,1869.5,1848.5,1851.5,9.0,1850.0,1265.0,3958.0,1853.5,1862.0,1841.25,1844.0,9.5,1842.5,45.0,660.0,1853.5,1847.25,1841.25,1847.25,9.25,1836.0,0.0,6.0
2014-03-24,1855.5,1866.0,1841.25,1850.25,7.5,1849.5,3665772.0,2815873.0,1848.5,1858.75,1834.5,1843.0,7.75,1842.25,1359.0,3965.0,1842.75,1851.25,1827.5,1835.5,7.5,1835.0,28.0,656.0,1825.0,1837.75,1825.0,1826.75,7.75,1828.25,1.0,6.0
2014-03-25,1850.25,1864.5,1848.0,1858.75,9.75,1859.25,1652222.0,2807336.0,1843.5,1857.25,1841.0,1851.5,9.75,1852.0,928.0,4114.0,1836.5,1847.25,1834.0,1844.25,9.75,1844.75,96.0,654.0,1835.0,1840.0,1835.0,1836.75,9.75,1838.0,6.0,7.0
2014-03-26,1859.0,1868.75,1841.5,1844.25,16.75,1842.5,1892736.0,2796385.0,1852.25,1861.5,1834.75,1837.0,16.5,1835.5,2183.0,4066.0,1845.0,1853.5,1827.5,1829.5,16.5,1828.25,9.0,672.0,1821.5,1845.25,1824.0,1824.0,16.5,1821.5,0.0,8.0
2014-03-27,1845.0,1848.5,1834.0,1843.0,2.0,1840.5,2031060.0,2805754.0,1837.0,1841.0,1827.0,1836.0,2.0,1833.5,2475.0,4654.0,1832.0,1833.5,1820.0,1828.5,2.0,1826.25,33.0,1162.0,1823.0,1825.75,1815.0,1819.25,2.0,1819.5,18.0,8.0
